"","X.1","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","family"
"937",943,943,1198,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,4,0,0,"Myotis capaccinii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Galleria Casteldoria (S.M Coghinas), Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis capaccinii","VESPERTILIONIDAE"
"938",944,944,1199,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,3,0,0,"Myotis capaccinii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Galleria Casteldoria (S.M Coghinas), Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis capaccinii","VESPERTILIONIDAE"
"939",945,945,1200,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,3,0,0,"Myotis emarginatus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Galleria Casteldoria (S.M Coghinas), Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis emarginatus","VESPERTILIONIDAE"
"940",946,946,1201,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,2,0,0,"Myotis emarginatus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Galleria Casteldoria (S.M Coghinas), Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis emarginatus","VESPERTILIONIDAE"
"941",947,947,1202,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,2,0,0,"Myotis emarginatus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Galleria Casteldoria (S.M Coghinas), Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis emarginatus","VESPERTILIONIDAE"
"942",948,948,1203,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Plecotus sardus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Diga S. Chiara (Ula-Tirso)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus sardus","VESPERTILIONIDAE"
"943",949,949,1204,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Hypsugo savii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Monte Corallinu (Doragali),Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus savii","VESPERTILIONIDAE"
"944",950,950,1205,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Hypsugo savii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Monte Corallinu (Doragali),Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus savii","VESPERTILIONIDAE"
"945",951,951,1206,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,2,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Tilipera (Bonorva)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
"946",952,952,1207,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","VESPERTILIONIDAE"
"947",953,953,1208,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Belvi",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus auritus","VESPERTILIONIDAE"
"948",954,954,1209,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Belvi",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus auritus","VESPERTILIONIDAE"
"949",956,956,1211,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Plecotus austriacus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus austriacus","VESPERTILIONIDAE"
"950",957,957,1212,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Nyctalus leisleri","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Nyctalus leisleri","VESPERTILIONIDAE"
"951",958,958,1213,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Nyctalus leisleri","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Mularza Noa (Bolotana)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Nyctalus leisleri","VESPERTILIONIDAE"
"952",959,959,1214,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","VESPERTILIONIDAE"
"953",960,960,1215,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Tadarida teniotis","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Tadarida teniotis","MOLOSSIDAE"
"954",961,961,1216,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,1,0,0,"Tadarida teniotis","alphacoronavirus or betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Grotta Verde (Alghero)",NA,NA,"",2015,"November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Tadarida teniotis","MOLOSSIDAE"
"955",966,966,1221,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,13,0,0,"Barbastella barbastellus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 12, 21, 30, 34, 40, 42",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Barbastella barbastellus","VESPERTILIONIDAE"
"956",967,967,1222,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,7,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 11, 21, 42 ",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","VESPERTILIONIDAE"
"957",968,968,1223,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,15,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","1, 3, 19",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Miniopterus schreibersii","MINIOPTERIDAE"
"958",969,969,1224,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,16,0,0,"Myotis alcathoe","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","16, 18, 19, 21, 27, 28, 29, 30, 35, 36, 40",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis alcathoe","VESPERTILIONIDAE"
"959",970,970,1225,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,125,0,0,"Myotis bechsteinii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","2, 3, 4, 8, 13, 12, 14, 15, 17, 19, 22, 29, 30, 21, 35, 36, 43",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis bechsteinii","VESPERTILIONIDAE"
"960",971,971,1226,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,0,0,"Myotis brandtii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","7, 8, 45",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis brandtii","VESPERTILIONIDAE"
"961",972,972,1227,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,11,0,0,"Myotis dasycneme","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","2, 3, 37",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis dasycneme","VESPERTILIONIDAE"
"962",974,974,1229,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,5,0,0,"Myotis emarginatus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","14, 22, 35, 38",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis emarginatus","VESPERTILIONIDAE"
"963",976,976,1231,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,1,0,0,"Myotis mystacinus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","9",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis mystacinus","VESPERTILIONIDAE"
"964",978,978,1233,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,10,0,0,"Myotis blythii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 4, 12, 13, 14, 23",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis blythii","VESPERTILIONIDAE"
"965",979,979,1234,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,6,0,0,"Nyctalus leisleri","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","19, 20, 21, 28",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Nyctalus leisleri","VESPERTILIONIDAE"
"966",980,980,1235,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,14,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 13, 19, 21, 22, 28, 39",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Nyctalus noctula","VESPERTILIONIDAE"
"967",981,981,1236,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,0,0,"Pipistrellus nathusii","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","7, 20",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus nathusii","VESPERTILIONIDAE"
"968",982,982,1237,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,12,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 19, 27, 28, 36, 42",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
"969",984,984,1239,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,29,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 4, 5, 10, 11, 12, 13, 14, 15, 22, 28, 42",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus auritus","VESPERTILIONIDAE"
"970",985,985,1240,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,0,0,"Plecotus austriacus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","9, 10, 42",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus austriacus","VESPERTILIONIDAE"
"971",986,986,1241,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,0,0,"Vespertilio murinus","alphacoronavirus or betacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","28",NA,NA,"",2012,"",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Vespertilio murinus","VESPERTILIONIDAE"
"972",988,988,1243,"no evidence of coronavirus infection by reverse transcriptase-pcr in bats in belgium","Van Gucht et al.","J Wildl Dis",2014,57,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus or gammacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","E, RdRp",NA,"lung","Belgium","N","","80% dead near homes, 20% dead in animal rescue centers",NA,NA,"",2008,"",2013,"","","Year",NA,"N","Y, dead near homes, rescue centers","N","","VERENA Admin","4/12/2022 2:19pm","lung or respiratory","tissue",1,1,1,1,NA,NA,"RdRp_Other","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
"973",989,989,1244,"no evidence of coronavirus infection by reverse transcriptase-pcr in bats in belgium","Van Gucht et al.","J Wildl Dis",2014,40,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus or gammacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","E, RdRp",NA,"intestines","Belgium","N","","80% dead near homes, 20% dead in animal rescue centers",NA,NA,"",2008,"",2013,"","","Year",NA,"N","Y, dead near homes, rescue centers","N","","VERENA Admin","4/12/2022 2:19pm","intestine","tissue",1,1,1,1,NA,NA,"RdRp_Other","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
"974",990,990,1245,"no evidence of coronavirus infection by reverse transcriptase-pcr in bats in belgium","Van Gucht et al.","J Wildl Dis",2014,19,0,0,"Pipistrellus nathusii","alphacoronavirus or betacoronavirus or gammacoronavirus",NA,"","","","pooled","cross-sectional","RNA","RT-PCR","single","E, RdRp",NA,"lung","Belgium","N","","80% dead near homes, 20% dead in animal rescue centers",NA,NA,"",2008,"",2013,"","","Year",NA,"N","Y, dead near homes, rescue centers","N","","VERENA Admin","4/12/2022 2:19pm","lung or respiratory","tissue",1,1,1,1,NA,NA,"RdRp_Other","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Pipistrellus nathusii","VESPERTILIONIDAE"
