"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"935",1070,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,1,0,0,"Vespertilio murinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2014","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Vespertilio murinus","Vespertilio murinus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"936",2723,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,1,0,0,"Vespertilio murinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2015","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Vespertilio murinus","Vespertilio murinus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"937",1071,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,7,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2013","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"938",2724,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,11,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2014","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"939",2725,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,8,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2015","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"940",1072,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs","Monchatre-leroy et al.","Viruses-basel",2017,1,0,0,"Eptesicus nilssonii","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","France","N","","74 of the 100 French administrative departments","NA","NA","2013","","",NA,"","","Year",NA,"N","N","N","","VERENA Admin","4/12/2022 2:18pm","intestine","tissue","1","1","1","1",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","genus not specified",1,"Eptesicus nilssonii","Eptesicus nilssonii","identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs"
"943",1074,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,15,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Xiangyun","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"947",1078,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,4,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Bingchuan","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"949",1080,"identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china","He et al.","J Virol",2014,3,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"rectal swab","China","N","Yunnan","Baoshan","NA","NA","2011","","",NA,"","","Year",NA,"N","N","Y, , coinfection with different alphacoronaviruses did exist within a bat population in one location","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china"
"954",1083,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,26,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 12M, 10F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"955",1084,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,4,0,0,"Myotis mystacinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 2M, 1F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis mystacinus","Myotis mystacinus","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"956",1085,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,31,0,0,"Myotis myotis","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 16M, 6F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis myotis","Myotis myotis","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"957",1086,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,3,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 2M","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"958",1087,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,2,0,0,"Pipistrellus nathusii","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 1M, 1F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus nathusii","Pipistrellus nathusii","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"959",1088,"identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia","Rihtaric et al.","Arch Virol",2010,4,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"fecal pellets","Slovenia","N","","27 different locations in Slovenia","NA","NA","2008","","May",NA,"October","","Spring,Summer,Fall",NA,"Y, 2M, 1F","Y,  16 different churches, 1 house, 1 castle, and 1 cave ","N","","VERENA Admin","4/12/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia"
"961",1090,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,152,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Bavaria","","NA","NA","","2011","May",2014,"May","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"962",1091,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,118,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Bavaria","","NA","NA","","2011","May",2014,"May","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"963",1092,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,13,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Mecklenburg Western Pomerania","","NA","NA","","2012","July",2013,"July","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"964",1093,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,22,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Mecklenburg Western Pomerania","","NA","NA","","2012","July",2013,"July","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"966",1095,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,7,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Mecklenburg Western Pomerania","","NA","NA","","2012","July",2013,"July","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"969",1098,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,34,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","North Rhine Westphalia","","NA","NA","2014","","July",NA,"September","","Summer,Fall",NA,"N","Y, cow barns","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"985",1127,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,29,0,0,"Taphozous perforates","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Bisha ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"988",1129,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,8,0,0,"Taphozous perforates","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","Saudi Arabia","N","Bisha","Bisha ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","urinary","tissue","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"989",1130,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,22,0,0,"Taphozous perforates","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"serum","Saudi Arabia","N","Bisha","Bisha ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","blood or serum","sera","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"991",1132,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,25,0,0,"Eidolon helvum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eidolon helvum","Eidolon helvum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"994",1134,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,13,0,0,"Eidolon helvum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","urinary","tissue","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eidolon helvum","Eidolon helvum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"995",1135,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,19,0,0,"Eidolon helvum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"serum","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","blood or serum","sera","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eidolon helvum","Eidolon helvum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"996",1136,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,3,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"997",1137,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,3,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"998",1138,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","urinary","tissue","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"999",1139,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,2,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"serum","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","blood or serum","sera","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1000",1140,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,36,0,0,"Rhinopoma hardwickii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Naqi and Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma hardwickii","Rhinopoma hardwickii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1001",1141,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,35,0,0,"Rhinopoma hardwickii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Naqi and Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma hardwickii","Rhinopoma hardwickii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1002",1142,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,4,0,0,"Rhinopoma hardwickii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","Saudi Arabia","N","Bisha","Naqi and Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","urinary","tissue","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma hardwickii","Rhinopoma hardwickii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1003",1143,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,15,0,0,"Rhinopoma hardwickii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Naqi and Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma hardwickii","Rhinopoma hardwickii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1004",1144,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Rhinopoma microphyllum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma microphyllum","Rhinopoma microphyllum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1005",1145,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Rhinopoma microphyllum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Old Naqi","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinopoma microphyllum","Rhinopoma microphyllum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1006",1146,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Eptesicus bottae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus bottae","Eptesicus bottae","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1007",1147,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Eptesicus bottae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus bottae","Eptesicus bottae","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1008",1148,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Eptesicus bottae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","urinary","tissue","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus bottae","Eptesicus bottae","middle east respiratory syndrome coronavirus in bats, saudi arabia"
