title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
"global transmission, spatial segregation, and recombination determine the long-term evolution and epidemiology of bovine coronaviruses",Salem et al.,Viruses-basel,2020,10.3390/v12050534,486,Salem et al. 2020 Viruses-basel,WOS,Y,no bat,,
going to bat(s) for studies of disease tolerance,Mandl et al.,Frontiers In Immunology,2018,10.3389/fimmu.2018.02112,487,Mandl et al. 2018 Frontiers In Immunology,WOS,Y,general review,,
green roofs provide habitat for urban bats,Parkins & Clark,Global Ecology and Conservation,2015,10.1016/j.gecco.2015.07.011,488,Parkins & Clark 2015 Global Ecology and Conservation,WOS,Y,no cov,,
"group b betacoronavirus in rhinolophid bats, japan",Suzuki et al.,J Vet Med Sci,2014,10.1292/jvms.14-0012,489,Suzuki et al. 2014 J Vet Med Sci,PubMed,N,,Y,
gsms: a barrier coverage algorithm for joint surveillance quality and network lifetime in wsns,Xu et al.,Ieee Access,2019,10.1109/ACCESS.2019.2949579,490,Xu et al. 2019 Ieee Access,WOS,Y,not batcov,,
guidelines for communicating about bats to prevent persecution in the time of covid-19,Macfarlane & Rocha,Biological Conservation,2020,10.1016/j.biocon.2020.108650,491,Macfarlane & Rocha 2020 Biological Conservation,WOS,Y,general review,,
habitat associations of bats in a working rangeland landscape,Trubitt et al.,Ecology and Evolution,2019,10.1002/ece3.4782,492,Trubitt et al. 2019 Ecology and Evolution,WOS,Y,no cov,,
habitat selection by bats in fragmented and unfragmented aspen mixedwood stands of different ages,Crampton & Barclay,Bats and Forests Symposium,1996,,493,Crampton & Barclay 1996 Bats and Forests Symposium,WOS,Y,no cov,,
habitat use of female gray bats assessed using aerial telemetry,Moore et al.,Journal of Wildlife Management,2017,10.1002/jwmg.21299,494,Moore et al. 2017 Journal of Wildlife Management,WOS,Y,no cov,,
handbook of phytoalexin metabolism and action,NA et al.,,1995,,495,NA et al. 1995 ,CAB,Y,not batcov,,
"hantavirus in bat, sierra leone",Weiss et al.,,2012,10.3201/eid1801.111026,496,Weiss et al. 2012 ,CAB,Y,no cov,,
har: a hotspots-based adaptive routing in delay tolerant mobile sensor networks,Lin et al.,Ad Hoc & Sensor Wireless Networks,2012,,497,Lin et al. 2012 Ad Hoc & Sensor Wireless Networks,WOS,Y,not batcov,,
helminths of wildlife,Chowdhury & Aguirre,,2001,,498,Chowdhury & Aguirre 2001 ,CAB,Y,not batcov,,
hendra in the news: public policy meets public morality in times of zoonotic uncertainty,Degeling & Kerridge,Social Science & Medicine,2013,,499,Degeling & Kerridge 2013 Social Science & Medicine,CAB,Y,not batcov,,
henipaviruses,Field & Epstein,,2011,,500,Field & Epstein 2011 ,CAB,Y,general review,,
herpetofauna and mammals,Aynalem & Mengistu,"Social and Ecological System Dynamics: Characteristics, Trends, and Integration In The Lake Tana Basin, Ethiopia",2017,10.1007/978-3-319-45755-0_14,501,"Aynalem & Mengistu 2017 Social and Ecological System Dynamics: Characteristics, Trends, and Integration In The Lake Tana Basin, Ethiopia",WOS,Y,not batcov,,
hibernation site requirements of bats in man-made hibernacula in a spatial context,De boer et al.,Ecological Applications,2013,10.1890/1051-0761-23.2.502,502,De boer et al. 2013 Ecological Applications,WOS,Y,no cov,,
high detectability with low impact: optimizing large pit tracking systems for cave-dwelling bats,Van harten et al.,Ecology and Evolution,2019,10.1002/ece3.5482,503,Van harten et al. 2019 Ecology and Evolution,WOS,Y,no cov,,
high diversity of bat-related viruses in hungary: literature review,Görföl et al.,Magyar Állatorvosok Lapja,2015,,504,Görföl et al. 2015 Magyar Állatorvosok Lapja,CAB,Y,batcov review,,
high-level expression of a recombinant active microbial transglutaminase in escherichia coli,Salis et al.,Bmc Biotechnology,2015,10.1186/s12896-015-0202-4,505,Salis et al. 2015 Bmc Biotechnology,WOS,Y,not batcov,,
highly diversified coronaviruses in neotropical bats,Corman et al.,J Gen Virol,2013,10.1099/vir.0.054841-0,506,Corman et al. 2013 J Gen Virol,PubMed,N,,Y,
historical distribution of duration of unplanned power outages in queensland: insights for sustaining telecommunications during disasters,Kongsiriwattana et al.,2017 Ieee Global Humanitarian Technology Conference (ghtc),2017,,507,Kongsiriwattana et al. 2017 2017 Ieee Global Humanitarian Technology Conference (ghtc),WOS,Y,not batcov,,
history is repeating itself: probable zoonotic spillover as the cause of the 2019 novel coronavirus epidemic,Rodriguez-morales et al.,Infez Med,2020,,508,Rodriguez-morales et al. 2020 Infez Med,PubMed,Y,general review,,
home range and habitat selection of the indiana bat in an agricultural landscape,Kniowski & Gehrt,Journal of Wildlife Management,2014,10.1002/jwmg.677,509,Kniowski & Gehrt 2014 Journal of Wildlife Management,WOS,Y,no cov,,
homology analysis of ace2 among different species and its implications for the host range of 2019-ncov,Yan-Jun Li et al.,Chinese Journal of Zoonoses,2020,10.3969/j.issn.1002-2694.2020.00.105,510,Yan-Jun Li et al. 2020 Chinese Journal of Zoonoses,CAB,Y,molecular,,
"hospital-based zoonotic disease surveillance in bangladesh: design, field data and difficulties",Das et al.,Philosophical Transactions of The Royal Society B-biological Sciences,2019,10.1098/rstb.2019.0019,511,Das et al. 2019 Philosophical Transactions of The Royal Society B-biological Sciences,WOS,Y,no bat,,
host determinants of mers-cov transmission and pathogenesis,Widagdo et al.,Viruses,2019,10.3390/v11030280,512,Widagdo et al. 2019 Viruses,PubMed,Y,molecular,,
"host range, prevalence, and genetic diversity of adenoviruses in bats",Li et al.,J Virol,2010,10.1128/JVI.02497-09,513,Li et al. 2010 J Virol,PubMed,Y,no cov,,
hosts and sources of endemic human coronaviruses,Corman et al.,Adv Virus Res,2018,10.1016/bs.aivir.2018.01.001,514,Corman et al. 2018 Adv Virus Res,PubMed,Y,general review,,
"hotspots and main drivers of fecal pollution in neusiedler see, a large shallow lake in central europe",Hatvani et al.,Environmental Science and Pollution Research,2018,10.1007/s11356-018-2783-7,515,Hatvani et al. 2018 Environmental Science and Pollution Research,WOS,Y,not batcov,,
how and why overcome the impediments to resolution: lessons from rhinolophid and hipposiderid bats,Foley et al.,Mol Biol Evol,2015,10.1093/molbev/msu329,516,Foley et al. 2015 Mol Biol Evol,PubMed,Y,no cov,,
how conservation will be impacted in the covid-19 pandemic,Neupane,Wildlife Biology,2020,10.2981/wlb.00727,517,Neupane 2020 Wildlife Biology,WOS,Y,general review,,
"how risk perceptions, not evidence, have driven harmful policies on covid-19",Chakraborty,European Journal of Risk Regulation,2020,10.1017/err.2020.37,518,Chakraborty 2020 European Journal of Risk Regulation,WOS,Y,general review,,
"human betacoronavirus 2c emc/2012-related viruses in bats, ghana and europe",Annan et al.,Emerg Infect Dis,2013,10.3201/eid1903.121503,519,Annan et al. 2013 Emerg Infect Dis,PubMed,N,,Y,
human coronavirus emc does not require the sars-coronavirus receptor and maintains broad replicative capability in mammalian cell lines,Müller et al.,Mbio,2012,10.1128/mBio.00515-12,520,Müller et al. 2012 Mbio,PubMed,Y,molecular,,
human coronavirus emc is not the same as severe acute respiratory syndrome coronavirus,Perlman & Zhao,Mbio,2013,10.1128/mBio.00002-13,521,Perlman & Zhao 2013 Mbio,PubMed,Y,molecular,,
human coronavirus: host-pathogen interaction,Fung & Liu,Annu Rev Microbiol,2019,10.1146/annurev-micro-020518-115759,522,Fung & Liu 2019 Annu Rev Microbiol,PubMed,Y,general review,,
human-bat interactions in rural west africa,Anti et al.,Emerg Infect Dis,2015,10.3201/eid2108.142015,523,Anti et al. 2015 Emerg Infect Dis,PubMed,,,,
humoral and cellular immune responses induced by 3a dna vaccines against severe acute respiratory syndrome (sars) or sars-like coronavirus in mice,Lu et al.,Clin Vaccine Immunol,2009,10.1128/CVI.00261-08,524,Lu et al. 2009 Clin Vaccine Immunol,PubMed,,,,
hunting bats for human consumption in bangladesh,Nahar et al.,Ecohealth,2020,10.1007/s10393-020-01468-x,525,Nahar et al. 2020 Ecohealth,WOS,,,,
identification and genetic characterization of bat-cov in bats in northern italy,Vecchio et al.,,2015,,526,Vecchio et al. 2015 ,CAB,,,,
identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,10.1111/tbed.12568,527,Mendenhall et al. 2017 Transbound Emerg Dis,PubMed,,,,
identification of a novel betacoronavirus (merbecovirus) in amur hedgehogs from china,Lau et al.,Viruses,2019,10.3390/v11110980,528,Lau et al. 2019 Viruses,CAB,,,,
identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,10.1128/JVI.79.4.2001-2009.2005,529,Poon et al. 2005 Journal of Virology,WOS,,,,
identification of a severe acute respiratory syndrome coronavirus-like virus in a leaf-nosed bat in nigeria,Quan et al.,Mbio,2010,10.1128/mBio.00208-10,530,Quan et al. 2010 Mbio,WOS,,,,
"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,10.3390/v9120364,531,Monchatre-leroy et al. 2017 Viruses-basel,WOS,,,,
identification of an unclassified paramyxovirus in coleura afra: a potential case of host specificity,Maganga et al.,Plos One,2014,10.1371/journal.pone.0115588,532,Maganga et al. 2014 Plos One,WOS,,,,
identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in china,He et al.,J Virol,2014,10.1128/JVI.00631-14,533,He et al. 2014 J Virol,PubMed,,,,
identification of key amino acid residues required for horseshoe bat angiotensin-i converting enzyme 2 to function as a receptor for severe acute respiratory syndrome coronavirus,Yu et al.,J Gen Virol,2010,10.1099/vir.0.020172-0,534,Yu et al. 2010 J Gen Virol,PubMed,,,,
identification of sars-like coronaviruses in horseshoe bats (rhinolophus hipposideros) in slovenia,Rihtaric et al.,Arch Virol,2010,10.1007/s00705-010-0612-5,535,Rihtaric et al. 2010 Arch Virol,PubMed,,,,
identifying sars-cov-2-related coronaviruses in malayan pangolins,Lam et al.,Nature,2020,10.1038/s41586-020-2169-0,536,Lam et al. 2020 Nature,WOS,,,,
"illicit wildlife trade, wet markets, and covid-19: preventing future pandemics",Aguirre et al.,World Medical & Health Policy,2020,10.1002/wmh3.348,537,Aguirre et al. 2020 World Medical & Health Policy,WOS,,,,
immature stages and nest construction in synapsis yunnanus (coleoptera: scarabaeidae),Vitner & Kral,Annales de la Société Entomologique de France,2009,,538,Vitner & Kral 2009 Annales de la Société Entomologique de France,CAB,,,,
immobilization on magnetic nanoparticles of the recombinant trehalose synthase from deinococcus geothermalis,Panek et al.,Food and Bioproducts Processing,2013,10.1016/j.fbp.2013.04.007,539,Panek et al. 2013 Food and Bioproducts Processing,WOS,,,,
immunogenicity difference between the sars coronavirus and the bat sars-like coronavirus spike (s) proteins,Zhou et al.,Biochemical and Biophysical Research Communications,2009,10.1016/j.bbrc.2009.07.025,540,Zhou et al. 2009 Biochemical and Biophysical Research Communications,WOS,,,,
immunogenicity of the spike glycoprotein of bat sars-like coronavirus,Hou et al.,Virol Sin,2010,10.1007/s12250-010-3096-2,541,Hou et al. 2010 Virol Sin,PubMed,,,,
immunology of bats and their viruses: challenges and opportunities,Schountz,Viruses,2014,10.3390/v6124880,542,Schountz 2014 Viruses,PubMed,,,,
impact of anthropogenic disturbance on the density and activity pattern of deer evaluated with respect to spatial scale-dependency,Agetsuma et al.,Mammalian Biology,2016,10.1016/j.mambio.2015.09.005,543,Agetsuma et al. 2016 Mammalian Biology,WOS,,,,
impacts of climate-driven habitat change on the peak calving date of the bathurst caribou in arctic canada,Chen et al.,Polar Biology,2018,10.1007/s00300-018-2259-8,544,Chen et al. 2018 Polar Biology,WOS,,,,
impacts of onshore wind energy production on birds and bats: recommendations for future life cycle impact assessment developments,Laranjeiro et al.,International Journal of Life Cycle Assessment,2018,10.1007/s11367-017-1434-4,545,Laranjeiro et al. 2018 International Journal of Life Cycle Assessment,WOS,,,,
importance of bats in wildlife: not just carriers of pandemic sars-cov-2 and other viruses,Katterine bonilla-aldana et al.,Journal of Pure and Applied Microbiology,2020,10.22207/JPAM.14.SPL1.05,546,Katterine bonilla-aldana et al. 2020 Journal of Pure and Applied Microbiology,WOS,,,,
improvements in virus detection at cirad's sugarcane quarantine using both viral metagenomics and pcr-based approaches,Fernandez et al.,Sugar Tech,2020,10.1007/s12355-019-00790-1,547,Fernandez et al. 2020 Sugar Tech,WOS,,,,
in silico identification of immunodominant b-cell and t-cell epitopes of non-structural proteins of usutu virus,Rohit Satyam et al.,Microbial Pathogenesis,2018,10.1016/j.micpath.2018.09.019,548,Rohit Satyam et al. 2018 Microbial Pathogenesis,CAB,,,,
in the shadow of covid-19: towards declaring a rabies-free croatia,Lojkić et al.,Veterinarska Stanica,2020,10.46419/vs.51.4.11,549,Lojkić et al. 2020 Veterinarska Stanica,CAB,,,,
indian perspective of remdesivir: a promising covid-19 drug,Singh et al.,Indian J Pharmacol,2020,10.4103/ijp.IJP_486_20,550,Singh et al. 2020 Indian J Pharmacol,PubMed,,,,
indirect effects of sea ice loss on summer-fall habitat and behaviour for sympatric populations of an arctic marine predator,Hauser et al.,Diversity and Distributions,2018,10.1111/ddi.12722,551,Hauser et al. 2018 Diversity and Distributions,WOS,,,,
infection of bat and human intestinal organoids by sars-cov-2,Zhou et al.,Nat Med,2020,10.1038/s41591-020-0912-6,552,Zhou et al. 2020 Nat Med,PubMed,,,,
"infection with toxoplasma gondii (eucoccidiorida: sarcocystidae) in bats of campeche and yucatan, mexico",Torres-castro et al.,Revista De Biologia Tropical,2019,,553,Torres-castro et al. 2019 Revista De Biologia Tropical,WOS,,,,
"infection with toxoplasma gondii (eucoccidiorida: sarcocystidae) in bats of campeche and yucatán, mexico",Torres-Castro et al.,Revista de Biología Tropical,2019,,554,Torres-Castro et al. 2019 Revista de Biología Tropical,CAB,,,,
infectious diseases emerging from chinese wet-markets: zoonotic origins of severe respiratory viral infections,Woo et al.,Curr Opin Infect Dis,2006,10.1097/01.qco.0000244043.08264.fc,555,Woo et al. 2006 Curr Opin Infect Dis,PubMed,,,,
influence of extraction methods on caraway (carum carvi l.) essential oil yield and carvone/limonene ratio,Andras et al.,Environmental Engineering and Management Journal,2015,10.30638/eemj.2015.034,556,Andras et al. 2015 Environmental Engineering and Management Journal,WOS,,,,
influence of the covid-19 pandemic on public attitudes toward bats in arkansas and implications for bat management,Sasse & Gramza,Human Dimensions of Wildlife,2020,10.1080/10871209.2020.1799267,557,Sasse & Gramza 2020 Human Dimensions of Wildlife,WOS,,,,
influence of urbanization on demography of little brown bats (myotis lucifugus) in the prairies of north america,Coleman & Barclay,Plos One,2011,10.1371/journal.pone.0020483,558,Coleman & Barclay 2011 Plos One,WOS,,,,
"initial success in the identification and management of the coronavirus disease 2019 (covid-19) indicates human-to-human transmission in wuhan, china",Awadasseid et al.,International Journal of Biological Sciences,2020,10.7150/ijbs.45018,559,Awadasseid et al. 2020 International Journal of Biological Sciences,CAB,,,,
injuries and illnesses among human remains detection-certified search-and-recovery dogs deployed to northern california in response to the camp fire wildfire of november 2018,Gordon & Ho,Javma-journal of The American Veterinary Medical Association,2020,,560,Gordon & Ho 2020 Javma-journal of The American Veterinary Medical Association,WOS,,,,
innate immune responses of bat and human cells to filoviruses: commonalities and distinctions,Kuzmin et al.,J Virol,2017,10.1128/JVI.02471-16,561,Kuzmin et al. 2017 J Virol,PubMed,,,,
insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany,Fischer et al.,Infect Genet Evol,2016,10.1016/j.meegid.2015.11.010,562,Fischer et al. 2016 Infect Genet Evol,PubMed,,,,
insight into 2019 novel coronavirus - an updated interim review and lessons from sars-cov and mers-cov,Xie & Chen,Int J Infect Dis,2020,10.1016/j.ijid.2020.03.071,563,Xie & Chen 2020 Int J Infect Dis,PubMed,,,,
"insights from the association of sars-cov s-protein with its receptor, ace2",Li et al.,Adv Exp Med Biol,2006,10.1007/978-0-387-33012-9_36,564,Li et al. 2006 Adv Exp Med Biol,PubMed,,,,
"insights on the legislation, law enforcement and management of zoonosis from the epidemic of new coronavirus pneumonia (covid-19)",Jiang ZhiGang,Biodiversity Science,2020,10.17520/biods.2020053,565,Jiang ZhiGang 2020 Biodiversity Science,CAB,,,,
intangible and economic impacts of hendra virus prevention strategies,Wilson & Ward,Zoonoses and Public Health,2016,10.1111/zph.12238,566,Wilson & Ward 2016 Zoonoses and Public Health,CAB,,,,
integration of tactical ems in the national park service,Smith,Wilderness & Environmental Medicine,2017,10.1016/j.wem.2017.03.002,567,Smith 2017 Wilderness & Environmental Medicine,WOS,,,,
inter-disciplinary approaches in the life sciences,Legay & Millier,,2006,,568,Legay & Millier 2006 ,CAB,,,,
interferon regulatory factor 3-mediated signaling limits middle-east respiratory syndrome (mers) coronavirus propagation in cells from an insectivorous bat,Banerjee et al.,Viruses,2019,10.3390/v11020152,569,Banerjee et al. 2019 Viruses,PubMed,,,,
interplay between co-divergence and cross-species transmission in the evolutionary history of bat coronaviruses,Leopardi et al.,Infect Genet Evol,2018,10.1016/j.meegid.2018.01.012,570,Leopardi et al. 2018 Infect Genet Evol,PubMed,,,,
interspecies transmission and emergence of novel viruses: lessons from bats and birds,Chan et al.,Trends In Microbiology,2013,10.1016/j.tim.2013.05.005,571,Chan et al. 2013 Trends In Microbiology,WOS,,,,
intraspecies diversity of sars-like coronaviruses in rhinolophus sinicus and its implications for the origin of sars coronaviruses in humans,Yuan et al.,J Gen Virol,2010,10.1099/vir.0.016378-0,572,Yuan et al. 2010 J Gen Virol,PubMed,,,,
introduction: lifespans and pathologies present at death in laboratory animals,Wolf & Austad,Comparative Biology of Aging,2010,10.1007/978-90-481-3465-6_1,573,Wolf & Austad 2010 Comparative Biology of Aging,WOS,,,,
investigating the role of bats in emerging zoonoses,Newman et al.,,2011,,574,Newman et al. 2011 ,CAB,,,,
investigation of west nile virus infection in brown bears (ursus arctos) in turkey,Yldrm et al.,Eurasian Journal of Veterinary Sciences,2017,,575,Yldrm et al. 2017 Eurasian Journal of Veterinary Sciences,CAB,,,,
is parasite load dependent on host aggregation size? the case of the greater mouse-eared bat myotis myotis (mammalia: chiroptera) and its parasitic mite spinturnix myoti (acari: gamasida),Postawa & Szubert-Kruszyn´ska,Parasitology Research,2014,10.1007/s00436-014-3826-8,576,Postawa & Szubert-Kruszyn´ska 2014 Parasitology Research,CAB,,,,
is the discovery of the novel human betacoronavirus 2c emc/2012 (hcov-emc) the beginning of another sars-like pandemic?,Chan et al.,J Infect,2012,10.1016/j.jinf.2012.10.002,577,Chan et al. 2012 J Infect,PubMed,,,,
isolation and characterization of a bat sars-like coronavirus that uses the ace2 receptor,Ge et al.,Nature,2013,10.1038/nature12711,578,Ge et al. 2013 Nature,WOS,,,,
isolation and characterization of a novel alphaherpesvirus in fruit bats,Sasaki et al.,J Virol,2014,10.1128/JVI.01277-14,579,Sasaki et al. 2014 J Virol,PubMed,,,,
isolation and characterization of a novel bat coronavirus closely related to the direct progenitor of severe acute respiratory syndrome coronavirus,Yang et al.,J Virol,2015,10.1128/JVI.02582-15,580,Yang et al. 2015 J Virol,PubMed,,,,
isolation of novel adenovirus from fruit bat (pteropus dasymallus yayeyamae),Maeda et al.,,2008,,581,Maeda et al. 2008 ,CAB,,,,
isolation of sars-cov-2-related coronavirus from malayan pangolins,Xiao et al.,Nature,2020,10.1038/s41586-020-2313-x,582,Xiao et al. 2020 Nature,WOS,,,,
jumping species-a mechanism for coronavirus persistence and survival,Menachery et al.,Curr Opin Virol,2017,10.1016/j.coviro.2017.01.002,583,Menachery et al. 2017 Curr Opin Virol,PubMed,,,,
kanyawara virus: a novel rhabdovirus infecting newly discovered nycteribiid bat flies infesting previously unknown pteropodid bats in uganda,Goldberg et al.,Sci Rep,2017,10.1038/s41598-017-05236-w,584,Goldberg et al. 2017 Sci Rep,PubMed,,,,
knowledge and attitude towards the middle east respiratory syndrome coronavirus among healthcare personnel in the southern region of saudi arabia,Abbag et al.,Journal of Infection and Public Health,2018,10.1016/j.jiph.2018.02.001,585,Abbag et al. 2018 Journal of Infection and Public Health,CAB,,,,
landscape context influences chytrid fungus distribution in an endangered european amphibian,Scheele et al.,Animal Conservation,2015,10.1111/acv.12199,586,Scheele et al. 2015 Animal Conservation,WOS,,,,
landscape context matters for attractiveness and effective use of road underpasses by bats,Laforge et al.,Biological Conservation,2019,10.1016/j.biocon.2019.07.023,587,Laforge et al. 2019 Biological Conservation,WOS,,,,
landscape modeling for human - sulawesi crested black macaques conflict in north sulawesi,Nailufar et al.,1st International Symposium On Lapan-ipb Satellite (lisat) For Food Security and Environmental Monitoring,2015,10.1016/j.proenv.2015.03.014,588,Nailufar et al. 2015 1st International Symposium On Lapan-ipb Satellite (lisat) For Food Security and Environmental Monitoring,WOS,,,,
"large arf1 guanine nucleotide exchange factors: evolution, domain structure, and roles in membrane trafficking and human disease",Bui et al.,Mol Genet Genomics,2009,10.1007/s00438-009-0473-3,589,Bui et al. 2009 Mol Genet Genomics,PubMed,,,,
late quaternary turnover of mammals in borneo: the zooarchaeological record,Earl of cranbrook,Biodiversity and Conservation,2010,10.1007/s10531-009-9686-3,590,Earl of cranbrook 2010 Biodiversity and Conservation,WOS,,,,
lessons learned from the 2019-ncov epidemic on prevention of future infectious diseases,Pan et al.,Microbes Infect,2020,10.1016/j.micinf.2020.02.004,591,Pan et al. 2020 Microbes Infect,PubMed,,,,
lessons of past coronavirus pandemics,Groat,Population and Development Review,2020,10.1111/padr.12360,592,Groat 2020 Population and Development Review,WOS,,,,
long term reductions of faecal indicator organisms in chichester harbour (england) following sewerage infrastructure improvements in the catchment,Campos et al.,Science of the Total Environment,2020,10.1016/j.scitotenv.2020.139061,593,Campos et al. 2020 Science of the Total Environment,CAB,,,,
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,10.1186/s12985-018-0950-6,594,Wacharapluesadee et al. 2018 Virol J,PubMed,,,,
"longitudinal surveillance of betacoronaviruses in fruit bats in yunnan province, china during 2009-2016",Luo et al.,Virol Sin,2018,10.1007/s12250-018-0017-2,595,Luo et al. 2018 Virol Sin,PubMed,,,,
loop-mediated isothermal amplification-single nucleotide polymorphism analysis for detection and differentiation of wild-type and vaccine strains of mink enteritis virus,Lin et al.,Scientific Reports,2018,10.1038/s41598-018-26717-6,596,Lin et al. 2018 Scientific Reports,WOS,,,,
lost in the digital wild: hiding information in digital activities,Li et al.,Mps'18: Proceedings of The 2nd International Workshop On Multimedia Privacy and Security,2018,10.1145/3267357.3267365,597,Li et al. 2018 Mps'18: Proceedings of The 2nd International Workshop On Multimedia Privacy and Security,WOS,,,,
low cost surveying using an unmanned aerial vehicle,Perez et al.,Uav-g2013,2013,,598,Perez et al. 2013 Uav-g2013,WOS,,,,
low infection prevalence of the amphibian chytrid fungus batrachochytrium dendrobatidis (chytridiomycetes: rhizophydiales) in cuba,Sabino-pinto et al.,Amphibia-reptilia,2017,10.1163/15685381-00003100,599,Sabino-pinto et al. 2017 Amphibia-reptilia,WOS,,,,
lysis of lysis-inhibited bacteriophage t4-infected cells,Abedon,Journal of Bacteriology,1992,10.1128/JB.174.24.8073-8080.1992,600,Abedon 1992 Journal of Bacteriology,WOS,,,,
lysosomal proteases are a determinant of coronavirus tropism,Zheng et al.,J Virol,2018,10.1128/JVI.01504-18,601,Zheng et al. 2018 J Virol,PubMed,,,,
mamastrovirus 5 detected in a crab-eating fox (cerdocyon thous): expanding wildlife host range of astroviruses,Beduschi travassos alves et al.,Comparative Immunology Microbiology and Infectious Diseases,2018,10.1016/j.cimid.2018.08.002,602,Beduschi travassos alves et al. 2018 Comparative Immunology Microbiology and Infectious Diseases,WOS,,,,
"mammals of cabo blanco: history, diversity, and conservation after 45 years of regrowth of a costa rican dry forest",Timm et al.,Forest Ecology and Management,2009,10.1016/j.foreco.2008.10.027,603,Timm et al. 2009 Forest Ecology and Management,WOS,,,,
managing the grey-headed flying-fox as a threatened species in nsw,Eby & Lunney,,2002,,604,Eby & Lunney 2002 ,CAB,,,,
"mapping sand resources on the near (3-8 nautical mile) outer continental shelf of the southeastern us: investigating regional trends in sediment thicknesses, age estimates, and geologic evolution",Luciano et al.,Oceans 2018 Mts/ieee Charleston,2018,,605,Luciano et al. 2018 Oceans 2018 Mts/ieee Charleston,WOS,,,,
mapping the risk of nipah virus spillover into human populations in south and southeast asia,Walsh,Transactions of the Royal Society of Tropical Medicine and Hygiene,2015,10.1093/trstmh/trv055,606,Walsh 2015 Transactions of the Royal Society of Tropical Medicine and Hygiene,CAB,,,,
"mers coronavirus: diagnostics, epidemiology and transmission",Mackay & Arden,Virol J,2015,10.1186/s12985-015-0439-5,607,Mackay & Arden 2015 Virol J,PubMed,,,,
mers-cov and sars-cov infections in animals: a systematic review and meta-analysis of prevalence studies,Bonilla-aldana et al.,Infez Med,2020,,608,Bonilla-aldana et al. 2020 Infez Med,PubMed,,,,
mers-cov recombination: implications about the reservoir and potential for adaptation,Dudas & Rambaut,Virus Evolution,2016,10.1093/ve/vev023,609,Dudas & Rambaut 2016 Virus Evolution,CAB,,,,
mers-cov: a new virus from saudi arabia,Bourée,Rev Prat,2014,,610,Bourée 2014 Rev Prat,PubMed,,,,
"mers-related betacoronavirus in vespertilio superans bats, china",Yang Li et al.,,2014,,611,Yang Li et al. 2014 ,CAB,,,,
mers: emergence of a novel human coronavirus,Raj et al.,Curr Opin Virol,2014,10.1016/j.coviro.2014.01.010,612,Raj et al. 2014 Curr Opin Virol,PubMed,,,,
"mesozoic subsidence and stretching models of the lithosphere in switzerland (jura, swiss plateau and helvetic realm)",Loup,Eclogae Geologicae Helvetiae,1992,,613,Loup 1992 Eclogae Geologicae Helvetiae,WOS,,,,
metagenomic analysis of the viromes of three north american bat species: viral diversity among different bat species that share a common habitat,Donaldson et al.,J Virol,2010,10.1128/JVI.01255-10,614,Donaldson et al. 2010 J Virol,PubMed,,,,
metagenomic analysis of viruses from bat fecal samples reveals many novel viruses in insectivorous bats in china,Ge et al.,J Virol,2012,10.1128/JVI.06671-11,615,Ge et al. 2012 J Virol,PubMed,,,,
metagenomic study of the viruses of african straw-coloured fruit bats: detection of a chiropteran poxvirus and isolation of a novel adenovirus,Baker et al.,Virology,2013,10.1016/j.virol.2013.03.014,616,Baker et al. 2013 Virology,WOS,,,,
"microhabitat use by larvae and females of a rare barrens butterfly, frosted elfin (callophrys irus)",Albanese et al.,Journal of Insect Conservation,2008,10.1007/s10841-007-9097-2,617,Albanese et al. 2008 Journal of Insect Conservation,WOS,,,,
middle east respiratory syndrome (mers) - an emerging coronavirus zoonosis,Glin´ski & Chemin´ski,Zycie Weterynaryjne,2014,,618,Glin´ski & Chemin´ski 2014 Zycie Weterynaryjne,CAB,,,,
middle east respiratory syndrome (mers) coronavirus,Matsuyama,Journal of Veterinary Epidemiology,2013,,619,Matsuyama 2013 Journal of Veterinary Epidemiology,CAB,,,,
"middle east respiratory syndrome (mers): bats or dromedary, which of them is responsible?",Chastel,Bull Soc Pathol Exot,2014,10.1007/s13149-014-0333-1,620,Chastel 2014 Bull Soc Pathol Exot,PubMed,,,,
middle east respiratory syndrome coronavirus (mers-cov) infection,Almaghrabi & Omrani,Br J Hosp Med (lond),2017,10.12968/hmed.2017.78.1.23,621,Almaghrabi & Omrani 2017 Br J Hosp Med (lond),PubMed,,,,
middle east respiratory syndrome coronavirus (mers-cov) origin and animal reservoir,Mohd et al.,Virol J,2016,10.1186/s12985-016-0544-0,622,Mohd et al. 2016 Virol J,PubMed,,,,
middle east respiratory syndrome coronavirus (mers-cov): animal to human interaction,Omrani et al.,Pathog Glob Health,2015,10.1080/20477724.2015.1122852,623,Omrani et al. 2015 Pathog Glob Health,PubMed,,,,
