"","UniqueID","Field.25","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","Primers","gene_targets","Terminal.sampling.","tissue","country","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Entered.by","Last.modified","euthanasia"
"1219",2793,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,66,0,0,"Rousettus leschenaulti","alphacoronavirus or betacoronavirus","","bat","Ro-BatCoV HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong","Positive only in 3/350 of bats in Guangdong, 0/66 bats in Hong Kong","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1220",1333,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,207,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1221",1334,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,207,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1222",1335,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,2,0,0,"Hipposideros larvatus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1223",1336,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,2,0,0,"Hipposideros larvatus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1224",1337,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,523,3,0.005736,"Hipposideros pomona","alphacoronavirus","","bat","Hi-BatCoV HKU10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong ","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 11:06am","Y"
"1225",2794,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Hipposideros pomona","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1226",1338,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,523,37,0.070746,"Hipposideros pomona","alphacoronavirus","","bat","Hi-BatCoV HKU10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong ","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 11:06am","Y"
"1227",2795,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Hipposideros pomona","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Guangdong","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:55am","Y"
"1228",1339,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,339,0,0,"Rhinolophus affinis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1229",1340,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,339,0,0,"Rhinolophus affinis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1230",1341,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Rhinolophus osgoodi","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1231",1342,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Rhinolophus osgoodi","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1232",1343,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,83,0,0,"Rhinolophus pusillus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1233",1344,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,83,0,0,"Rhinolophus pusillus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1234",1345,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1671,0,0,"Rhinolophus sinicus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1235",1346,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1671,0,0,"Rhinolophus sinicus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1236",1347,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Hypsugo pulveratus","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1237",1348,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,1,0,0,"Hypsugo pulveratus","alphacoronavirus or betacoronavirus","","bat","HKU-10","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1238",1349,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,14,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1239",1350,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,14,0,0,"Miniopterus magnater","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1240",1351,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,380,0,0,"Miniopterus pusillus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1241",1352,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,380,0,0,"Miniopterus pusillus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1242",1353,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,525,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1243",1354,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,525,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1244",1355,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,86,0,0,"Myotis chinensis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1245",1356,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,86,0,0,"Myotis chinensis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1246",1357,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,7,0,0,"Cynopterus horsfieldii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1247",1358,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,7,0,0,"Cynopterus horsfieldii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1248",1359,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,3,0,0,"Myotis muricola","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1249",1360,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,3,0,0,"Myotis muricola","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1250",1361,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,175,0,0,"Myotis ricketti","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1251",1362,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,175,0,0,"Myotis ricketti","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1252",1363,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,38,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1253",1364,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,38,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1254",1365,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,198,0,0,"Pipistrellus abramus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1255",1366,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,198,0,0,"Pipistrellus abramus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1256",1367,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,11,0,0,"Pipistrellus tenuis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1257",1368,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,11,0,0,"Pipistrellus tenuis","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1258",1369,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,16,0,0,"Scotophilus kuhlii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1259",1370,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,16,0,0,"Scotophilus kuhlii","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1260",1371,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,75,0,0,"Tyloncyteris pachypus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"respiratory swab","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1261",1372,"""recent transmission of a novel alphacoronavirus, bat coronavirus hku10, from leschenault's rousettes to pomona leaf-nosed bats: first evidence of interspecies transmission of coronavirus between bats of different suborders""","Lau et al.","J Virol",2012,75,0,0,"Tyloncyteris pachypus","alphacoronavirus or betacoronavirus","","bat","HKU-10","pooled","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"alimentary specimen","China","Hong Kong, Guangdong","","","","","2005","September",2010,"August","",NA,"N","N","N","VERENA Admin","7/19/2021 10:55am","Y"
"1262",1373,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,3,0,0,"Craseonycteris thonlongyal","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Thailand","Khanchanaburi","Cave 27","","","2008","","",NA,"","January",NA,"N","N","N","VERENA Admin","6/24/2021 12:13pm","N"
"1263",1374,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,5,0,0,"Craseonycteris thonlongyal","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"urine","Thailand","Khanchanaburi","Cave 28","","","2008","","",NA,"","January",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1264",1375,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,7,0,0,"Craseonycteris thonlongyal","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Thailand","Khanchanaburi","Cave 27","","","2008","","",NA,"","January",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1265",1376,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,6,0,0,"Craseonycteris thonlongyal","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"urine","Thailand","Khanchanaburi","Cave 28","","","2008","","",NA,"","January",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1266",1377,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,1,0,0,"Hipposideros lekaguli","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"oral swab","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1267",1378,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,2,0,0,"Hipposideros lekaguli","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"urine","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1268",1379,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,4,0,0,"Hipposideros larvatus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"oral swab","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1269",1380,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,3,0,0,"Hipposideros larvatus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"urine","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1270",1381,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,2,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"oral swab","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1271",1382,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,2,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"urine","Thailand","Nan","Cave 1","","","2006","","",NA,"","March",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1272",1383,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,6,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"oral swab","Thailand","Phayao","Cave 2","","","2006","","",NA,"","April",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
"1273",1384,"sars-coronavirus ancestor's foot-prints in south-east asian bat colonies and the refuge theory","Ar Gouilh et al.","Infect Genet Evol",2011,7,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Thailand","Phayao","Cave 2","","","2006","","",NA,"","April",NA,"N","N","N","VERENA Admin","6/24/2021 12:14pm","N"
