,X,UniqueID,title,author..from.Imported.table.2.,journal..from.Imported.table.2.,year..from.Imported.table.2.,sample,positives,prevalence,bat_species,virus_genus,virus_genus_notes,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single.multiple.PCR.method,gene_targets,Terminal.sampling.,tissue,country,country_hemisphere,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,sample_season_simplified,X..Sampling.Trips,Sex.Info.,Habitat.Disturbance.Info.,Coinfection.Info.,Flag,Entered.by,Last.modified,tissue_simplified,sample_simplified,summer,fall,winter,spring,latidudedecimal,longitudedecimal,gene_targets_simplified,euthanasia,euthanasia_simplified,method_specific_simplified,virus_genus_simplified,spec,species_for_reader,species,studies,species_char,family
750,750,1008,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",Pfefferle et al.,Emerg Infect Dis,2009,21,0,0,Coleura afra,alphacoronavirus or betacoronavirus,,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,RdRp,NA,faeces,Ghana,N,"Booyem, Brong-Ahafo",Cave Booyem B,"1°59'33.5""W","7°43'25.7""N",2008,,,NA,,February,Winter,NA,,,,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",faeces,0,0,1,0,7.723805556,-1.992638889,RdRp,No,No,PCR,genus not specified,1,Coleura afra,Coleura afra,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",Coleura afra,EMBALLONURIDAE
751,751,1018,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,1124,0,0,Eonycteris spelaea,alphacoronavirus or betacoronavirus,,,,,pooled,longitudinal,RNA,RT-PCR,single,RdRp,NA,faeces or urine,Singapore,N,,single colony,NA,NA,,2011,April,2015,June,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,pooled,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Eonycteris spelaea,Eonycteris spelaea,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Eonycteris spelaea,PTEROPODIDAE
752,752,1019,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,169,0,0,Eonycteris spelaea,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Singapore,N,,pool of 9 sites in Singapore,NA,NA,,2011,April,2014,March,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Eonycteris spelaea,Eonycteris spelaea,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Eonycteris spelaea,PTEROPODIDAE
753,753,1020,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,144,0,0,Cynopterus brachyotis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Singapore,N,,pool of 9 sites in Singapore,NA,NA,,2011,April,2014,March,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Cynopterus brachyotis,Cynopterus brachyotis,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Cynopterus brachyotis,PTEROPODIDAE
754,754,1021,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,79,0,0,Penthetor lucasi,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Singapore,N,,pool of 9 sites in Singapore,NA,NA,,2011,April,2014,March,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Penthetor lucasi,Penthetor lucasi,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Penthetor lucasi,PTEROPODIDAE
755,755,1022,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,2,0,0,Macroglossus minimus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Singapore,N,,pool of 9 sites in Singapore,NA,NA,,2011,April,2014,March,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Macroglossus minimus,Macroglossus minimus,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Macroglossus minimus,PTEROPODIDAE
756,756,1023,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Mendenhall et al.,Transbound Emerg Dis,2017,36,0,0,Rhinolophus lepidus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,rectal/oral swab,Singapore,N,,pool of 9 sites in Singapore,NA,NA,,2011,April,2014,March,,Year,NA,N,Y,N,,VERENA Admin,4/12/2022 2:17pm,pooled swabs/samples,swab,1,1,1,1,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus lepidus,Rhinolophus lepidus,identification of a lineage d betacoronavirus in cave nectar bats (eonycteris spelaea) in singapore and an overview of lineage d reservoir ecology in se asian bats,Rhinolophus lepidus,RHINOLOPHIDAE
758,758,1025,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,15,0,0,Cynopterus sphinx,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Cynopterus sphinx,Cynopterus sphinx,identification of a novel coronavirus in bats,Cynopterus sphinx,PTEROPODIDAE
759,759,1026,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,15,0,0,Cynopterus sphinx,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Cynopterus sphinx,Cynopterus sphinx,identification of a novel coronavirus in bats,Cynopterus sphinx,PTEROPODIDAE
760,760,1027,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,4,0,0,Hipposideros armiger,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Hipposideros armiger,Hipposideros armiger,identification of a novel coronavirus in bats,Hipposideros armiger,HIPPOSIDERIDAE
761,761,1028,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,4,0,0,Hipposideros armiger,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Hipposideros armiger,Hipposideros armiger,identification of a novel coronavirus in bats,Hipposideros armiger,HIPPOSIDERIDAE
762,762,1029,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Hipposideros pomona,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Hipposideros pomona,Hipposideros pomona,identification of a novel coronavirus in bats,Hipposideros pomona,HIPPOSIDERIDAE
763,763,1030,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Hipposideros pomona,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Hipposideros pomona,Hipposideros pomona,identification of a novel coronavirus in bats,Hipposideros pomona,HIPPOSIDERIDAE
770,770,1037,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Myotis myotis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Myotis myotis,Myotis myotis,identification of a novel coronavirus in bats,Myotis myotis,VESPERTILIONIDAE
771,771,1038,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Myotis myotis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Myotis myotis,Myotis myotis,identification of a novel coronavirus in bats,Myotis myotis,VESPERTILIONIDAE
772,772,1039,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,5,0,0,Myotis ricketti,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Myotis pilosus,Myotis pilosus,identification of a novel coronavirus in bats,Myotis pilosus,VESPERTILIONIDAE
773,773,1040,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,5,0,0,Myotis ricketti,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Myotis pilosus,Myotis pilosus,identification of a novel coronavirus in bats,Myotis pilosus,VESPERTILIONIDAE
774,774,1041,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Pipistrellus abramus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Pipistrellus abramus,Pipistrellus abramus,identification of a novel coronavirus in bats,Pipistrellus abramus,VESPERTILIONIDAE
775,775,1042,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,3,0,0,Pipistrellus abramus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Pipistrellus abramus,Pipistrellus abramus,identification of a novel coronavirus in bats,Pipistrellus abramus,VESPERTILIONIDAE
776,776,1043,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,2,0,0,Rhinolophus affinis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic locations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus affinis,Rhinolophus affinis,identification of a novel coronavirus in bats,Rhinolophus affinis,RHINOLOPHIDAE
777,777,1044,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,2,0,0,Rhinolophus affinis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic lcoations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus affinis,Rhinolophus affinis,identification of a novel coronavirus in bats,Rhinolophus affinis,RHINOLOPHIDAE
778,778,1045,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,1,0,0,Rhinolophus pusillus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic lcoations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus pusillus,Rhinolophus pusillus,identification of a novel coronavirus in bats,Rhinolophus pusillus,RHINOLOPHIDAE
779,779,1046,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,1,0,0,Rhinolophus pusillus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic lcoations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus pusillus,Rhinolophus pusillus,identification of a novel coronavirus in bats,Rhinolophus pusillus,RHINOLOPHIDAE
780,780,1047,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,6,0,0,Rhinolophus rouxi,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,respiratory swab,China,N,Hong Kong,three different geographic lcoations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:17pm,lung or respiratory,swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus rouxii,Rhinolophus rouxii,identification of a novel coronavirus in bats,Rhinolophus rouxii,RHINOLOPHIDAE
781,781,1048,identification of a novel coronavirus in bats,Poon et al.,Journal of Virology,2005,6,0,0,Rhinolophus rouxi,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,fecal swab,China,N,Hong Kong,three different geographic lcoations,NA,NA,,2003,,2004,,Summer,Summer,NA,N,"Y, natural reservoirs or country parks",N,,VERENA Admin,4/12/2022 2:18pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,RdRp,No,No,PCR,genus not specified,1,Rhinolophus rouxii,Rhinolophus rouxii,identification of a novel coronavirus in bats,Rhinolophus rouxii,RHINOLOPHIDAE
782,782,1049,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,4,0,0,Rhinolophus hipposideros,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2013,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus hipposideros,Rhinolophus hipposideros,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus hipposideros,RHINOLOPHIDAE
783,783,2697,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,2,0,0,Rhinolophus hipposideros,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2014,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus hipposideros,Rhinolophus hipposideros,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus hipposideros,RHINOLOPHIDAE
784,784,2698,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,2,0,0,Rhinolophus hipposideros,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus hipposideros,Rhinolophus hipposideros,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus hipposideros,RHINOLOPHIDAE
785,785,1050,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2013,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus ferrumequinum,RHINOLOPHIDAE
786,786,2699,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus ferrumequinum,RHINOLOPHIDAE
787,787,1051,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,3,0,0,Rhinolophus euryale,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Rhinolophus euryale,Rhinolophus euryale,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Rhinolophus euryale,RHINOLOPHIDAE
788,788,1052,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Barbastella barbastellus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2013,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Barbastella barbastellus,Barbastella barbastellus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Barbastella barbastellus,VESPERTILIONIDAE
789,789,2701,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,3,0,0,Barbastella barbastellus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2014,,,NA,,,Year,NA,,,,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Barbastella barbastellus,Barbastella barbastellus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Barbastella barbastellus,VESPERTILIONIDAE
790,790,1053,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Myotis myotis,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2014,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis myotis,Myotis myotis,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis myotis,VESPERTILIONIDAE
791,791,1054,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Myotis blythii,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis blythii,Myotis blythii,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis blythii,VESPERTILIONIDAE
792,792,1055,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Myotis mystacinus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2013,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis mystacinus,Myotis mystacinus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis mystacinus,VESPERTILIONIDAE
793,793,2702,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,4,0,0,Myotis mystacinus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments,NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis mystacinus,Myotis mystacinus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis mystacinus,VESPERTILIONIDAE
794,794,1056,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Myotis emarginatus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments (positive in East of France),NA,NA,2013,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis emarginatus,Myotis emarginatus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis emarginatus,VESPERTILIONIDAE
796,796,2704,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Monchatre-leroy et al.,Viruses-basel,2017,1,0,0,Myotis emarginatus,alphacoronavirus or betacoronavirus,,,,,pooled,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,France,N,,74 of the 100 French administrative departments (positive in East of France),NA,NA,2015,,,NA,,,Year,NA,N,N,N,,VERENA Admin,4/12/2022 2:18pm,intestine,tissue,1,1,1,1,NA,NA,RdRp,"Yes, BUT for previous study or rabies surveillance",Yes,PCR,genus not specified,1,Myotis emarginatus,Myotis emarginatus,"identification of alpha and beta coronavirus in wildlife species in france: bats, rodents, rabbits, and hedgehogs",Myotis emarginatus,VESPERTILIONIDAE
